Quantity,Name,Set Name,Collector Number,Foil/Variant,Condition,Language
1,Circle of Protection: White,Foreign Black Bordered,197,Normal,NM,JP
1,Circle of Protection: White,Limited Edition Alpha,197,Normal,NM,EN
2,Citanul Woodreaders,Time Spiral Remastered,199,Normal,NM,EN
1,City of Brass,Modern Masters,221,Normal,NM,EN
1,Cityscape Leveler,The Brothers' War,363,Normal,NM,EN
1,Clackbridge Troll,Throne of Eldraine,84,Normal,NM,EN
4,Cleansing Wildfire,Zendikar Rising,137,Normal,NM,EN
1,Cleanup Crew,Streets of New Capenna,141,Normal,NM,EN
1,Clearwater Pathway // Murkwater Pathway,Zendikar Rising,286,Normal,NM,EN
1,Cleric of Life's Bond,Zendikar Rising,222,Normal,NM,EN
1,Cliffhaven Kitesail,Zendikar Rising,243,Normal,NM,EN
1,Cliffhaven Sell-Sword,Zendikar Rising,8,Foil,NM,EN
4,Cling to Dust,Theros Beyond Death,87,Normal,NM,EN
1,Clone,Magic 2013,45,Normal,NM,EN
1,Clone,Magic 2013,45,Foil,NM,EN
1,Cloud Key,The Brothers' War Retro Artifacts,75,Normal,NM,EN
1,Cloudblazer,Masters 25,201,Normal,NM,EN
1,Cloudkill,Commander Legends: Battle for Baldur's Gate,121,Normal,NM,EN
